,text,labels
0,am feedings for the baby are fun when he is all smiles and coos,2
1, Journey Wow u just became cooler  hehe is that possible,2
2,I really really like the song Love Story by Taylor Swift,2
3,Playing Ghost Online is really interesting The new updates are Kirin pet and Metamorph for third job  Cant wait to have a dragon pet,2
4,the free fillin app on my ipod is fun im addicted,2
5,juss came backk from Berkeleyy  omg its madd fun out there  havent been out there in a minute  whassqoodd ,2
6,Im going home now Have you seen my new twitter design Quiteheavenly isn,2
7,i hope unni will make the audition  fighting dahye unni ,2
8, Thats very funny  Cute kids,2
9,A little happy for the wine jeje ok itsm my free time so who cares jaja i love this day,2
10,im an avid fan of  magazine and i love your magazines,2
11, I love to But Im only available from pm  and where dear Would love to help  convert her vids,2
12, romance zero is funny,2
13,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red,2
14,  Hes awesome Have you worked with him before Hes a good friend,2
15,Chilliin,2
16, a celticslakers rematch sounds better dont you think lol,2
17, THANK YYYYYYYYYOOOOOOOOOOUUUUU,2
18, lucky kidi so wanna see loserville  pity im in oz,2
19,Happy Star Wars day everyone and Enjoy the holiday UK,2
20, Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded,2
21, SWEEEEET  San Fran is awesome  Love it there,2
22,Happy Mothers day to all you Mums out there,2
23, We saw that in none D  the baddies the best,2
24,am And Im on the beach Pretty,2
25, Awesome  Im down in Ocean Beach if you know where that is By the way YourBiggestFan Im a real big fan of yours,2
26, haha I do not know how to work blip apart from the obvious thanks for reblipping my song  have a nice day ,2
27, have a safe trip joshy pooyoull knock them dead at your speech,2
28, woof I wish I was allowed to go,2
29,Thank you Afrin Nasal Spray Also I got a giant teacup tonight,2
30,Aww I love my daddy He works  days a week almost all day and still tries to go to SF with all of us,2
31, hahaa your awesomee ,2
32,holy smokes star trek was freaking awesomeeeee,2
33, Not a prob hun,2
34, hey mia  totally adore your music  when will your cd be out,2
35,Shopping Cleaning BMFing Webcam chatting with nephews Nothing spesh but a good bank holiday Monday nonetheless,2
36, O you need to ask him something Lmao I love him too,2
37, Nice to see you tweeting  Its Sunday th May and were celebrating Mothers Day here today So be nice to yer Mom,2
38,decided  trans frm relaxed  natural hair but i wish my whole head looked like my roots  Age of the instant gratification,2
39,Candle wax is very enjoyable,2
40, Shes unassuming and unpretentious Shes just as I suppose thats why shes so endearingbecause we can relate to her,2
41,goooooddd morning tweets  week three OF my workout did i mention i got my new glasses yesterday,2
42, fine Going to do my big walk today  or so miles,2
43,Laurie sending love blessings  healing thoughts to you  family  peace,2
44,  lichfield tweetup sounds like fun  Hope to see you and everyone else there,2
45,Few Bevvies day in twngreat on a day off,2
46,first night in myers just not the same wout lydia  but im actually excited about this summer,2
47, good morning,2
48, its the best show EVER,2
49,who watched Xmen origins wolverine i totally loved it haha,2
50, I VOTED do u have a personal myspace i keep talking to fakes   i  you u helped me thru the hrdest time of my life  x,2
51,happy  year ,2
52,Oh I HELLA forgot to say my official good morning  Like to hear it Here it go Goooooooooooood Morrrrrrrrning Twitterville Lol,2
53, nite nite bday girl  have fun at concert,2
54,happy mothers day to all moms out there,2
55,im thinking that im going to have fun tonightand maybe some changes are coming,2
56, Haha I know I cant handle the fame  and thank you,2
57, yes sober HAHAHA tanghaling tapat dude haha WILD i dont knowwww  plan plan  before you go to US,2
58, We never miss ICarly  my son has a huge crush on Miranda,2
59,Feeling smooth like chrome,2
60,JONAS BROTHERS  Live to party                Its rocking so hard     I love the song,2
61,happy mothers day to all the mothers in the world,2
62,mins through the hr mins Google Wave demo that looks a lot of fun would love to test it though  httpbitlyWnMSc,2
63,Sleepy Tabz is heading to bed  Fun night Listened through the next episode of Jossd,2
64,Screw the reviews I thought Wolverine was awesome But not enough Dominic Monaghan for my liking,2
65,If you followed us recently PLEASE dont be offended that we havent followed back We hit our limit   Hopefully we will be free soon,2
66,Happy monday  up and about going to tavares today Hope everyone has a blessed day,2
67, httptwitpiccomjaz  Cool luv it,2
68,  thats why I need to be thereTo represent the Blackberries,2
69, yeah I was thinking about that ahaha,2
70,almost died Laptop screen was set to  brightness after I reinstalled Windows Vista Got a headache now  insanedefaults,2
71,discovered cause of a bug in the new NetPLAYER  build Publishing bug fix now hopefully new beta by tomorrow,2
72,writing report cards  soooo tired but what an amazing day check it out on fb soon,2
73,Well good morning all What a wonderful day in the neighborhood  Thanks for all those that are now following another  this morning,2
74,FTSK and Mercy Mercedes were amazing tonight as always,2
75,  hope he is ok,2
76,cant school just be done already it hurts too much seeing him every day,2
77,Went to a party last night Dindin and I showed up in matching outfits  GREAT MINDS THINK ALIKE  Anyway happy birthday ate lara,2
78, Happy bday Just woke up on this side of Earth so wishes are bit late,2
79,thank you for teaching me values and to be a better person each day  I LOVE SO MUCH YOURE THE BEST MUM IN THE WORLD,2
80,HAPPY MOTHERS DAY,2
81, laughs Im glad that you have self confidence  its a wonderful trait to have  Ill applaud extra loud for it okay,2
82,  Thanks,2
83,Getting ready for week  Its too nice today to be stuck inside working,2
84,Happy Mothers Day people i love my mom a lot still,2
85, Thats awesome dude yay for surprise celebrities  I got to meet him a few years ago he was soooo friendly,2
86, it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love,2
87,Watching Ellen Love her then doing the dishes  and tanning its gorgeous out,2
88,tonight in party w my girls minus vita,2
89, I saw the play of it here it was amazing,2
90,  i am glad to break my twitter virginity with you two,2
91, I know   It was worth a shot though,2
92,Just opened a facebook account Im a little confused I dont really get it Twitter seems much better,2
93,DUSTBIN BABY ON AT  Cannot wait  x,2
94,Before I get too distracted Id like to thank my new followers for taking the trouble to follow me And to my others feelin the love,2
95,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,2
96, doing pretty well up and wide awake,2
97,My frist post Off to find a new car for my parents exciting,2
98, oh nice going,2
99,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,2
100, i agree with you,2
101, degrees gross skies and thunderstormsperfect match for my mood  lol,2
102,nd aww thanks,2
103,Please Review Sunehre Ad Placement  httptinyurlcomoowmk,2
104,aww  you loooove me,2
105,awesome lucky you,2
106, haha im jewish i love that one,2
107,Cant wait to see my boy tomorrow,2
108,Omg Wango Tango was  AWSOME I love my baby for taking me,2
109,Version  of our live interactive TransSiberian ticket planner is launched httptinyurlcomcljwm  its very cool,2
110, I really wish I could go,2
111,  This has made my night  Way too funny,2
112,Woo CAVS  Happy Mothers Day,2
113, Thanks for the warm welcome We didnt make plans   because our arrival time was so up in the air,2
114, Have a good one,2
115, yep infact she is popular miss india  talented film actress  and lot more,2
116,Daniel has won DSDS His voice is great,2
117,xATL u mean jack barakats wow so have u ever gone to his house Hehe i mean ur ssoo lucky to have the address,2
118,I sure do hope it becomes  this afternoon ,2
119, it means that you are now FAMOUS Congrats,2
120,I have such fantastic friends including several ones met through here thanks for being in my life  you are such amazing people,2
121,tamlyn wishes she was as cool as my sock draw,2
122,Yes I love tea If that makes me typically English then so be it,2
123, a mouth for sure,2
124, pancakes with lemon and sugar thanks,2
125, Yay three followers Good to know more than one person in this big wide world likes fishies,2
126,Goodmorning,2
127, I love mine too  happy mothers day to your mom  John Taylor   much love to you too ,2
128,httptwitpiccomwukt  We bought Ludi her own rug Dogs are the best,2
129,loves her mum very much Happy Mothers Day to all the wonderful mothers out there,2
130,i have an urge to play wow but i have to wait  weeks til im at my dads DAYS TIL MCFLY im so excited  L,2
131,Morning tweeple,2
132, Now you only have  hours to sleep   Rest if you need it,2
133,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,2
134, lol just dont ever forget me,2
135,   Wow what a beautiful picture and by the wayI am straightjust wanted to let you know     Bella,2
136,In Arch Drawing Checking out MVCCs CAD degree Looks good to me,2
137, you know you want to come keep me company whilst mums at her friends for the night  its such a nice evening,2
138,cooking with my dad  having lots of fun in the kitchen together,2
139,Off to Woolsery this morning to hopefully see North Molton U clinch the North Devon League title Lovely day for it,2
140,  youre missing out bb im such a cereal nut i think i like every kind available,2
141,Just woke up o mums singing to her new gnr cd replacement i bought because im a good daughter,2
